tripinfos [xmlns:xsi],tripinfos [xsi:noNamespaceSchemaLocation],tripinfo [arrivalLane],tripinfo [arrivalPos],tripinfo [arrivalSpeed],tripinfo [arrival],tripinfo [departDelay],tripinfo [departLane],tripinfo [departPos],tripinfo [departSpeed],tripinfo [depart],tripinfo [devices],tripinfo [duration],tripinfo [id],tripinfo [rerouteNo],tripinfo [routeLength],tripinfo [speedFactor],tripinfo [stopTime],tripinfo [timeLoss],tripinfo [vType],tripinfo [vaporized],tripinfo [waitingCount],tripinfo [waitingTime]
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546429#11_0,4.67,12.43,82.00,0.87,239353258#1_0,5.10,0.00,44.00,tripinfo_veh140 routing_veh140,38.00,veh140,1,410.67,0.96,0.00,5.14,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7515979#16_0,24.01,8.79,133.00,0.98,7516981#12_0,5.10,0.00,13.00,tripinfo_veh39 routing_veh39,120.00,veh39,1,1213.41,1.10,0.00,17.95,veh_passenger,,1,1.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,430014571#0_0,3.92,11.87,136.00,0.60,7331866#0_0,5.10,7.30,16.00,tripinfo_veh50 routing_veh50,120.00,veh50,1,1049.33,0.88,0.00,13.66,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,27628545#1_0,38.56,13.87,148.00,0.84,7332973#3_0,5.10,0.00,7.00,tripinfo_veh20 routing_veh20,141.00,veh20,1,1815.08,1.01,0.00,17.99,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7511774#9_0,35.98,7.74,157.00,0.97,-7511797#9_0,5.10,0.00,25.00,tripinfo_veh78 routing_veh78,132.00,veh78,1,967.77,0.96,0.00,40.31,veh_passenger,,2,20.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7517175#0_0,216.99,12.87,158.00,0.46,-7517367#6_0,5.10,0.00,120.00,tripinfo_veh388 routing_veh388,38.00,veh388,0,407.79,0.95,0.00,5.91,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7331645_0,33.73,8.64,161.00,0.79,-7331962#3_0,5.10,11.21,47.00,tripinfo_veh150 routing_veh150,114.00,veh150,1,1079.46,1.16,0.00,39.56,veh_passenger,,1,22.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,13.86,172.00,0.00,-275095923#6_0,5.10,0.00,100.00,tripinfo_myflow1.0 routing_myflow1.0,72.00,myflow1.0,1,541.87,1.00,0.00,8.02,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,300547416_0,68.68,14.97,174.00,0.75,972892762#0_0,5.10,0.00,14.00,tripinfo_veh43 routing_veh43,160.00,veh43,1,2879.61,1.09,0.00,28.69,veh_passenger,,1,9.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7326861#2_0,7.87,7.94,175.00,0.14,-7327041#0_0,5.10,0.00,14.00,tripinfo_veh45 routing_veh45,161.00,veh45,1,1766.79,1.04,0.00,23.26,veh_passenger,,1,1.00
